구,동,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도
중구,황학동,DUO302,15.97,202201,20,15500,11,2014
중구,황학동,DUO302,15.97,202201,25,15500,11,2014
중구,묵정동,충무,54.18,202201,27,59500,1,1982
중구,황학동,한양I-Class,16.37,202201,27,10000,14,2013
중구,묵정동,묵정,52.46,202202,12,53700,8,1981
중구,충무로5가,충무로헤센스마트,31.02,202202,12,39800,5,2018
중구,황학동,DUO302,15.97,202202,16,14300,15,2014
중구,신당동,약수하이츠,57.63,202202,21,117000,9,1999
중구,정동,삼정아트테라스정동,32.0134,202202,28,48000,2,2020
중구,신당동,남산타운,59.94,202203,1,105000,3,2002
중구,황학동,신당블루카운티,59.95,202203,1,44500,3,2016
중구,중림동,삼성사이버빌리지,59.93,202203,12,133000,9,2001
중구,신당동,신신(2차),59.04,202203,15,31000,2,2001
중구,정동,삼정아트테라스정동,20.0525,202203,16,50169,9,2020
중구,순화동,순화동더샵,84.9,202203,19,130000,21,2007
중구,신당동,약수역더시티,19.06,202203,28,27500,10,2021
중구,황학동,DUO302,15.97,202204,2,15850,18,2014
중구,정동,삼정아트테라스정동,28.1974,202204,4,49500,4,2020
중구,신당동,신당역솔하임,14.08,202204,5,16500,20,2016
중구,신당동,신당역솔하임,14.08,202204,10,16000,16,2016
중구,신당동,약수하이츠,57.63,202204,14,95000,7,1999
중구,신당동,남산타운,84.88,202204,14,145000,16,2002
중구,회현동1가,삼풍,47.54,202204,15,49000,8,1975
중구,흥인동,청계천두산위브더제니스,123.8073,202204,19,168000,34,2014
중구,신당동,약수하이츠,57.63,202204,23,95000,7,1999
중구,신당동,현대,83.97,202204,23,100000,14,1993
중구,흥인동,동대문와이즈캐슬,15.55,202204,30,14000,14,2014
중구,신당동,유정,59.65,202205,14,28000,2,2001
중구,신당동,남산타운,114.88,202205,18,165000,3,2002
중구,신당동,남산타운,59.94,202205,19,121500,12,2002
중구,신당동,남산타운,84.88,202205,19,140000,11,2002
중구,회현동2가,쌍용남산플래티넘,177,202205,25,235000,15,2010
중구,신당동,약수하이츠,57.63,202205,26,93000,7,1999
중구,황학동,한양I-Class,16.37,202205,27,12400,14,2013
중구,충무로5가,충무로헤센스마트,21.04,202205,27,22100,3,2018
중구,신당동,래미안하이베르,84.98,202206,2,137000,12,2011
중구,흥인동,동대문와이즈캐슬,16.55,202206,7,14650,15,2014
중구,신당동,래미안하이베르,59.74,202206,12,108000,1,2011
중구,황학동,그랜드힐오피스텔,24.15,202208,4,16500,10,2017
중구,충무로5가,충무로엘크루메크로시티2차,22.75,202208,30,21800,16,2016
중구,신당동,신당아르브,18.08,202209,5,16000,6,2014
중구,회현동1가,이지-빌,55.9,202209,17,43000,2,2006
중구,신당동,남산타운,84.88,202209,23,123000,5,2002
중구,흥인동,동대문솔하임,23.42,202210,7,27500,19,2016
중구,흥인동,동대문와이즈캐슬,22.07,202210,20,24000,15,2014
중구,황학동,롯데캐슬,84.89,202210,20,94500,26,2008
중구,황학동,롯데캐슬,84.89,202210,20,94500,26,2008
중구,신당동,신당아르브,18.08,202210,24,15100,4,2014
중구,신당동,약수하이츠,57.63,202211,12,86000,15,1999
중구,황학동,DUO302,15.97,202211,14,16000,12,2014
중구,정동,삼정아트테라스정동,22.0989,202211,16,39000,2,2020
